AZIENDE SUDDIVISE PER CODICE ATECO,Anno,"ATECO 2007
codice","ATECO 2007
descrizione",FORNITORI,CLIENTI,DIPENDENTI,COMUNITA' LOCALI,AZIONISTI,MEDIA,PUBBLICA AMMINISTRAZIONE,ASSOCIAZIONI DI CATEGORIA,ISTITUTI FINANZIARI,SUPPLY CHAIN,COMUNITA' FINANZIARIA,ENTI REGOLATORI,SCUOLE- UNIVERSITA' E CENTRI DI RICERCA,FRANCHISEE & AGENTI,ONG,AUTORITA' DI VIGILANZA E CONTROLLO,AGRICOLTORI ,TERZO SETTORE,COMPETITORS,PARTNER COMMERCIALI E AMBIENTE,ORGANIZZATORI DI FIERE  COMMERCIALI ,DESIGNER E ARCHITETTI ,AGENTI E DISTRIBUTORI ,SUDDIVISIONE STAKEHOLDER INTERNI/ESTERNI,DESCRIZIONE PROCESSO DI ATTRIBUZIONE DI RILEVANZA DEGLI STAKEHOLDER,DESCRIZIONE PROCESSO DI COINVOLGIMENTO,PROCESSO COLLABORATIVO/NON COLLABORATIVO,QUESTIONARI,INTERVISTE,FOCUS GROUP,WORKSHOP,GROUP MEETING,SURVEY ONLINE,INCONTRI PERIODICI,CONFERENCE CALL,VISITE IN LOCO,SEMINARI ,CONFERENZE,INTRANET AZIENDALE ,NEWSLETTERS,COMUNICATI STAMPA,RAPPORTI CON AGRICOLTORI,ROADSHOW,APPLICAZIONE STANDARD AA1000,SEZIONE DEDICATA ALLA DESCRIZIONE DEL PROCESSO DI ENGAGEMENT                        ,NUMERO PAGINE DEDICATE ALLA DESCRIZIONE DEL PROCESSO                  ,GRI,ESRS,SASB,VALUE REPORTING FOUNDATION
A.L.A. SOCIETA' PER AZIONI,2022,466999,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
A.L.A. SOCIETA' PER AZIONI,2023,466999,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
A.L.A. SOCIETA' PER AZIONI,2024,466999,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
A2A S.P.A.,2022,351100,Produzione di energia elettrica,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
A2A S.P.A.,2023,351100,Produzione di energia elettrica,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
A2A S.P.A.,2024,351100,Produzione di energia elettrica,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2022,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2023,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2024,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
ABITARE IN S.P.A.,2022,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,1,1,1,0
ABITARE IN S.P.A.,2023,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,19,1,1,1,0
ABITARE IN S.P.A.,2024,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,0
ACEA S.P.A.,2022,351100,Produzione di energia elettrica,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0
ACEA S.P.A.,2023,351100,Produzione di energia elettrica,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACEA S.P.A.,2024,351100,Produzione di energia elettrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
ACINQUE S.P.A.,2022,701000,Attività delle holding impegnate nelle attività gestionali (holding operative),1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
ACINQUE S.P.A.,2023,701000,Attività delle holding impegnate nelle attività gestionali (holding operative),1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0
ACINQUE S.P.A.,2024,701000,Attività delle holding impegnate nelle attività gestionali (holding operative),1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AEFFE S.P.A.,2022,642000,Attività delle società di partecipazione (holding),1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
AEFFE S.P.A.,2023,642000,Attività delle società di partecipazione (holding),1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AEFFE S.P.A.,2024,642000,Attività delle società di partecipazione (holding),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,2022,522300,Attività dei servizi connessi al trasporto aereo,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,2023,522300,Attività dei servizi connessi al trasporto aereo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,2024,522300,Attività dei servizi connessi al trasporto aereo,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALERION CLEAN POWER S.P.A. IN FORMA ABBREVIATA ALERION S.P.A.,2022,642000,Attività delle società di partecipazione (holding),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALERION CLEAN POWER S.P.A. IN FORMA ABBREVIATA ALERION S.P.A.,2023,642000,Attività delle società di partecipazione (holding),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALERION CLEAN POWER S.P.A. IN FORMA ABBREVIATA ALERION S.P.A.,2024,642000,Attività delle società di partecipazione (holding),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALKEMY S.P.A.,2022,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ALKEMY S.P.A.,2023,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALKEMY S.P.A.,2024,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLCORE S.P.A.,2022,631111,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLCORE S.P.A.,2023,631111,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLCORE S.P.A.,2024,631111,Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ALMAWAVE S.P.A.,2022,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
ALMAWAVE S.P.A.,2023,702209,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
