AZIENDE SUDDIVISE PER CODICE ATECO,Anno,"ATECO 2007
codice","ATECO 2007
descrizione",FORNITORI,CLIENTI,DIPENDENTI,COMUNITA' LOCALI,AZIONISTI,MEDIA,PUBBLICA AMMINISTRAZIONE,ASSOCIAZIONI DI CATEGORIA,ISTITUTI FINANZIARI,SUPPLY CHAIN,COMUNITA' FINANZIARIA,ENTI REGOLATORI,SCUOLE- UNIVERSITA' E CENTRI DI RICERCA,FRANCHISEE & AGENTI,ONG,AUTORITA' DI VIGILANZA E CONTROLLO,AGRICOLTORI ,TERZO SETTORE,COMPETITORS,PARTNER COMMERCIALI E AMBIENTE,ORGANIZZATORI DI FIERE  COMMERCIALI ,DESIGNER E ARCHITETTI ,AGENTI E DISTRIBUTORI ,SUDDIVISIONE STAKEHOLDER INTERNI/ESTERNI,DESCRIZIONE PROCESSO DI ATTRIBUZIONE DI RILEVANZA DEGLI STAKEHOLDER,DESCRIZIONE PROCESSO DI COINVOLGIMENTO,PROCESSO COLLABORATIVO/NON COLLABORATIVO,QUESTIONARI,INTERVISTE,FOCUS GROUP,WORKSHOP,GROUP MEETING,SURVEY ONLINE,INCONTRI PERIODICI,CONFERENCE CALL,VISITE IN LOCO,SEMINARI ,CONFERENZE,INTRANET AZIENDALE ,NEWSLETTERS,COMUNICATI STAMPA,RAPPORTI CON AGRICOLTORI,ROADSHOW,APPLICAZIONE STANDARD AA1000,SEZIONE DEDICATA ALLA DESCRIZIONE DEL PROCESSO DI ENGAGEMENT                        ,NUMERO PAGINE DEDICATE ALLA DESCRIZIONE DEL PROCESSO                  ,GRI,ESRS,SASB,VALUE REPORTING FOUNDATION
A.L.A. SOCIETA' PER AZIONI,2022.0,466999.0,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0
A.L.A. SOCIETA' PER AZIONI,2023.0,466999.0,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0
A.L.A. SOCIETA' PER AZIONI,2024.0,466999.0,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0
A2A S.P.A.,2022.0,351100.0,Produzione di energia elettrica,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0
A2A S.P.A.,2023.0,351100.0,Produzione di energia elettrica,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0
A2A S.P.A.,2024.0,351100.0,Produzione di energia elettrica,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1.0,1.0,0.0,0.0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2022.0,702209.0,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2023.0,702209.0,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ABC COMPANY S.P.A. SOCIETA' BENEFIT O IN BREVE ABC S.P.A.,2024.0,702209.0,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0
ABITARE IN S.P.A.,2022.0,702209.0,Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12,1.0,1.0,1.0,0.0
